epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0353,3.93674,6.04529,4.48543,0,0,0,0,5.00868,5.09703,4.19132,0.00051677,0.00051677,0.00051677
2,36.2143,3.14409,3.86987,3.6111,0,0,0,0,5.13522,4.66279,4.3286,0.00104501,0.00104501,0.00104501
3,50.8408,2.86241,3.04198,3.1911,7e-05,0.00704,3e-05,0,4.81569,4.45964,4.04278,0.00156797,0.00156797,0.00156797
4,65.201,2.66639,2.62834,3.00235,0.68098,0.23239,0.17748,0.05633,2.55923,2.24524,3.1805,0.00164225,0.00164225,0.00164225
5,78.8244,2.60689,2.40088,2.81311,0.58929,0.07042,0.04364,0.01135,2.6268,18.7485,6.99228,0.00163399,0.00163399,0.00163399
6,92.8162,2.38144,2.17947,2.65247,0.87917,0.00704,0.01148,0.00252,2.6968,4.09993,4.44193,0.00162574,0.00162574,0.00162574
7,107.017,2.39942,1.98528,2.67339,0.6049,0.21127,0.07345,0.0208,2.74117,42.881,7.1433,0.00161749,0.00161749,0.00161749
8,119.48,2.38399,1.83728,2.52572,0.98077,0.17606,0.3912,0.11469,2.2657,6.87257,4.07571,0.00160924,0.00160924,0.00160924
9,133.058,2.22485,1.74753,2.48539,0.26701,0.32394,0.27928,0.07828,2.41739,1.9153,3.58754,0.00160099,0.00160099,0.00160099
10,147.298,2.13596,1.60975,2.42845,0.42306,0.42596,0.45459,0.17613,2.04922,1.28596,2.58183,0.00159274,0.00159274,0.00159274
11,161.475,2.0901,1.44127,2.36138,0.90571,0.42421,0.46649,0.18122,2.27312,1.50124,2.38582,0.00158448,0.00158448,0.00158448
12,175.08,1.96359,1.4153,2.27645,0.91339,0.41549,0.44459,0.18143,2.11707,1.2928,2.49168,0.00157623,0.00157623,0.00157623
13,187.911,2.00193,1.37797,2.26178,0.9186,0.46479,0.46927,0.1736,2.20884,1.17816,2.30415,0.00156798,0.00156798,0.00156798
14,201.608,2.00598,1.36423,2.26084,0.95553,0.43287,0.45782,0.14488,2.35384,1.22486,2.39677,0.00155973,0.00155973,0.00155973
15,215.777,1.90202,1.25127,2.1601,0.95747,0.45447,0.47875,0.19539,2.0204,1.10085,2.28059,0.00155148,0.00155148,0.00155148
16,230.063,1.78798,1.24204,2.09644,0.9696,0.43513,0.48193,0.20518,1.9505,1.19477,2.16791,0.00154323,0.00154323,0.00154323
17,243.122,1.78182,1.18762,2.08485,0.93904,0.47887,0.47854,0.22654,1.86364,1.01773,2.16997,0.00153497,0.00153497,0.00153497
18,256.667,1.75502,1.11294,2.08216,0.95464,0.47887,0.49193,0.22229,1.88798,1.24715,2.20344,0.00152672,0.00152672,0.00152672
19,270.517,1.66082,1.09803,2.00079,0.953,0.5,0.48575,0.20398,1.90768,1.3684,2.13229,0.00151847,0.00151847,0.00151847
20,284.723,1.62978,1.00803,1.91342,0.97408,0.43662,0.48508,0.24684,1.70445,1.2533,1.98575,0.00151022,0.00151022,0.00151022
